town,age,job,married,education,arrears,housing,target
Luton,26,management,single,tertiary,no,no,no
Weston-super-Mare,75,retired,married,tertiary,no,no,no
Peterborough,32,blue-collar,married,primary,no,no,no
Huddersfield,54,technician,divorced,secondary,no,yes,no
Rotherham,33,technician,single,tertiary,no,yes,yes
Peterborough,32,self-employed,married,secondary,no,yes,no
Oxford,46,admin.,married,secondary,no,yes,no
Nuneaton,75,retired,divorced,primary,no,no,no
Aberdeen,44,admin.,married,secondary,no,yes,no
Liverpool,34,blue-collar,married,primary,no,no,no
Liverpool,38,technician,single,secondary,no,yes,no
London,54,self-employed,divorced,tertiary,no,yes,no
Sheffield,44,management,single,tertiary,no,no,yes
Liverpool,53,admin.,married,secondary,no,no,no
London,37,management,married,tertiary,no,yes,no
Halifax,46,management,divorced,tertiary,no,no,no
Raleigh,41,admin.,single,secondary,no,no,yes
Bristol,48,management,married,tertiary,no,yes,no
Liverpool,36,blue-collar,married,primary,no,yes,no
Darlington,35,services,married,secondary,no,yes,no
Colchester,44,technician,married,secondary,no,yes,no
Glasgow,56,retired,married,primary,no,yes,no
Dundee,45,management,married,tertiary,no,yes,no
Wigan,38,technician,divorced,secondary,no,yes,no
Rochdale,60,admin.,married,secondary,no,no,yes
Birmingham,52,management,married,tertiary,no,no,no
Blackburn,37,management,married,tertiary,no,no,no
Sheffield,31,technician,married,tertiary,no,yes,no
Birkenhead,35,blue-collar,single,secondary,no,yes,no
Oxford,58,services,divorced,secondary,no,yes,no
Colchester,36,management,married,tertiary,no,no,no
Bradford,26,blue-collar,single,primary,no,yes,no
Blackburn,24,unemployed,single,secondary,no,no,no
London,44,technician,married,secondary,no,yes,no
Bristol,38,services,divorced,primary,no,no,no
Wolverhampton,25,technician,single,secondary,no,no,yes
Plymouth,35,technician,single,secondary,no,yes,no
London,53,services,married,secondary,no,yes,no
Crawley,59,retired,married,unknown,no,no,no
Ipswich,35,unemployed,single,tertiary,no,no,no
Liverpool,35,management,single,tertiary,no,yes,yes
Brighton,43,blue-collar,married,secondary,no,yes,no
London,39,technician,divorced,secondary,no,no,no
Chelmsford,29,management,single,tertiary,no,yes,no
Newcastle upon Tyne,45,blue-collar,married,primary,no,yes,no
Stevenage,43,technician,married,secondary,no,yes,yes
Cambridge,43,admin.,single,secondary,no,no,no
Belfast,40,blue-collar,single,secondary,no,no,yes
Chelmsford,39,management,married,tertiary,no,yes,no
Glasgow,32,management,single,secondary,no,no,no
Ipswich,31,admin.,married,secondary,no,no,no
Chesterfield,64,retired,divorced,secondary,no,no,no
St Albans,28,management,married,secondary,no,yes,no
Chelmsford,32,blue-collar,single,secondary,no,yes,no
Birkenhead,36,self-employed,married,primary,no,no,no
Colchester,29,management,single,tertiary,no,no,yes
Grimsby,53,retired,married,primary,no,yes,no
Chelmsford,60,retired,married,secondary,no,no,no
Southampton,30,blue-collar,married,secondary,no,no,no
Middlesbrough,35,blue-collar,married,secondary,no,yes,no
Glasgow,31,student,single,tertiary,no,yes,no
Leicester,50,technician,divorced,secondary,no,yes,no
Ipswich,27,student,single,secondary,no,no,no
Bristol,33,management,single,tertiary,no,no,no
Rotherham,35,admin.,single,secondary,no,no,no
Birmingham,31,self-employed,single,tertiary,no,no,no
Hastings,49,technician,single,secondary,no,yes,no
Southend-on-Sea,35,management,divorced,tertiary,no,yes,no
Watford,50,technician,married,secondary,no,yes,no
Kingston upon Hull,32,technician,married,secondary,no,yes,yes
Bristol,60,retired,married,unknown,no,yes,no
Liverpool,50,services,married,secondary,no,yes,no
Rochdale,53,admin.,married,secondary,no,no,yes
Doncaster,31,management,single,secondary,no,yes,no
Cardiff,49,admin.,divorced,secondary,no,no,no
Poole,39,admin.,single,secondary,no,no,no
Middlesbrough,47,entrepreneur,married,tertiary,no,yes,no
Reading,34,management,married,tertiary,no,yes,no
Rotherham,40,self-employed,divorced,tertiary,no,yes,no
Luton,45,self-employed,married,secondary,no,no,no
Hastings,42,admin.,married,secondary,no,yes,no
Birmingham,19,student,single,primary,no,no,yes
London,31,technician,single,secondary,no,no,no
Stockport,41,admin.,single,secondary,no,yes,yes
Gateshead,57,retired,married,primary,no,no,no
Warrington,44,unemployed,married,secondary,no,yes,no
Blackburn,32,services,single,secondary,no,yes,no
Telford,31,blue-collar,married,primary,no,yes,no
Sunderland,39,management,married,tertiary,no,yes,yes
Slough,45,blue-collar,married,primary,no,no,no
Colchester,41,technician,single,unknown,no,yes,no
Cheltenham,38,admin.,divorced,secondary,no,no,no
Ipswich,33,management,married,tertiary,no,yes,no
London,50,services,married,secondary,yes,no,no
Bolton,42,technician,single,tertiary,no,no,no
Bedford,40,blue-collar,married,secondary,no,yes,no
Birmingham,51,services,married,unknown,no,no,no
Manchester,78,retired,divorced,secondary,no,no,yes
Rotherham,28,admin.,single,secondary,no,no,yes
Birmingham,33,technician,married,secondary,no,no,no
Birmingham,31,management,single,tertiary,no,no,no
Chester,43,admin.,divorced,tertiary,no,yes,no
Gateshead,49,blue-collar,married,secondary,no,no,no
High Wycombe,39,entrepreneur,single,secondary,no,no,no
Chesterfield,46,entrepreneur,married,primary,no,yes,no
Hartlepool,48,entrepreneur,married,unknown,no,yes,no
Glasgow,54,blue-collar,married,secondary,no,yes,no
Norwich,58,unemployed,married,secondary,no,yes,no
Reading,44,blue-collar,divorced,secondary,no,yes,no
Weston-super-Mare,36,admin.,single,secondary,no,yes,no
Gateshead,43,management,married,primary,no,no,no
Hartlepool,42,services,married,secondary,no,no,no
Newport,58,management,divorced,tertiary,no,yes,no
London,36,management,divorced,tertiary,no,yes,no
London,43,technician,single,tertiary,no,yes,no
Salford,26,services,married,secondary,no,yes,no
Huddersfield,59,unemployed,married,secondary,no,no,no
Weston-super-Mare,38,self-employed,married,secondary,no,yes,no
Norwich,44,technician,single,secondary,no,yes,no
Maidstone,54,technician,married,secondary,no,no,no
Manchester,31,technician,married,secondary,no,yes,no
Gloucester,27,unemployed,single,primary,no,no,no
Stockport,41,management,divorced,secondary,no,yes,no
Stockport,54,unemployed,married,primary,no,yes,no
Sunderland,34,blue-collar,single,primary,no,yes,no
Bedford,40,technician,married,secondary,no,yes,no
Telford,59,services,married,secondary,no,yes,no
London,33,blue-collar,married,primary,no,yes,no
Blackpool,38,blue-collar,single,secondary,no,no,no
Maidstone,37,technician,married,secondary,no,yes,no
London,40,technician,married,secondary,no,yes,no
Birmingham,37,management,married,tertiary,no,no,yes
Poole,36,admin.,married,secondary,no,yes,no
Sheffield,38,technician,married,secondary,no,yes,no
Poole,41,blue-collar,divorced,unknown,no,no,no
Weston-super-Mare,51,services,married,secondary,no,yes,no
Sutton Coldfield,46,management,married,secondary,no,no,yes
Bolton,23,admin.,single,secondary,no,yes,no
Bristol,29,unemployed,single,tertiary,no,no,no
London,35,management,single,tertiary,no,no,no
Bolton,38,technician,married,secondary,no,no,no
Worthing,42,blue-collar,married,unknown,no,yes,no
Warrington,35,admin.,divorced,secondary,no,no,no
Edinburgh,40,services,single,secondary,no,no,no
Woking,36,blue-collar,married,secondary,no,yes,no
Birmingham,32,blue-collar,single,primary,no,yes,no
Newcastle upon Tyne,30,management,married,tertiary,no,yes,no
Newcastle upon Tyne,40,blue-collar,married,secondary,no,yes,no
Grimsby,36,management,married,tertiary,no,yes,no
Birkenhead,31,technician,single,secondary,no,yes,no
St Helens,32,blue-collar,married,primary,no,yes,no
Nottingham,29,admin.,single,secondary,no,yes,no
Southampton,35,unemployed,single,tertiary,no,no,yes
Salford,45,management,married,tertiary,no,no,no
Hastings,43,entrepreneur,divorced,secondary,no,yes,no
Hartlepool,48,blue-collar,married,secondary,no,no,no
Crawley,47,technician,married,secondary,no,no,no
Worcester,35,admin.,single,secondary,no,no,no
Brighton,41,self-employed,divorced,tertiary,no,yes,no
Milton Keynes,46,services,married,secondary,no,no,no
Solihull,40,admin.,divorced,secondary,no,yes,no
Glasgow,31,management,single,tertiary,no,yes,no
Bath,47,blue-collar,single,secondary,no,yes,no
Dundee,39,blue-collar,single,unknown,no,no,no
Middlesbrough,32,blue-collar,single,secondary,no,yes,yes
Leeds,24,technician,married,secondary,no,yes,no
Wolverhampton,32,blue-collar,married,primary,no,yes,no
Bournemouth,42,management,married,secondary,no,yes,no
Gloucester,53,technician,married,primary,no,yes,no
Eastbourne,45,unemployed,married,primary,no,yes,no
Oxford,35,management,married,tertiary,no,yes,no
Birmingham,30,services,married,secondary,no,yes,no
Exeter,58,management,married,tertiary,no,yes,no
Birmingham,27,blue-collar,single,secondary,no,no,yes
Swansea,26,blue-collar,single,secondary,no,no,no
Weston-super-Mare,56,management,single,tertiary,no,yes,no
County Down,44,blue-collar,divorced,primary,no,yes,no
Middlesbrough,38,admin.,married,secondary,no,yes,no
Huddersfield,50,blue-collar,married,primary,no,no,no
Wolverhampton,39,management,married,primary,no,no,no
Huddersfield,43,management,married,tertiary,no,yes,no
Bath,44,technician,married,secondary,no,yes,no
Stoke-on-Trent,37,admin.,single,secondary,no,yes,no
Luton,31,technician,single,tertiary,no,yes,no
Raleigh,34,blue-collar,married,primary,no,yes,no
Kingston upon Hull,41,management,married,tertiary,no,yes,no
Sheffield,26,technician,single,secondary,no,no,no
Sunderland,28,blue-collar,married,secondary,no,yes,no
Bristol,27,admin.,married,secondary,no,yes,no
Wolverhampton,39,management,single,tertiary,no,no,yes
Worthing,60,admin.,married,secondary,no,yes,no
Hartlepool,42,management,married,secondary,no,yes,no
Hartlepool,33,management,single,tertiary,no,no,no
High Wycombe,37,blue-collar,married,primary,no,yes,no
Stockport,26,management,single,tertiary,no,no,no
Birmingham,54,technician,married,secondary,no,no,no
London,50,entrepreneur,married,primary,no,yes,yes
Stockport,35,blue-collar,single,primary,no,yes,no
London,54,admin.,married,unknown,no,no,no
Slough,31,technician,married,secondary,no,no,no
Halifax,24,student,single,secondary,no,yes,yes
Halifax,40,blue-collar,divorced,secondary,no,no,no
Oxford,62,retired,married,primary,no,no,no
Portsmouth,42,blue-collar,married,unknown,no,yes,no
Watford,51,management,single,tertiary,no,yes,no
Rotherham,35,blue-collar,married,primary,no,yes,no
Preston,55,services,married,secondary,no,no,no
Solihull,40,technician,married,secondary,no,no,no
London,81,retired,married,secondary,no,no,no
Glasgow,59,management,divorced,tertiary,no,yes,no
Gateshead,34,technician,married,secondary,no,yes,no
Glasgow,50,blue-collar,married,primary,no,yes,no
Weston-super-Mare,33,technician,married,secondary,no,no,no
Swindon,42,management,married,tertiary,no,no,no
Southend-on-Sea,61,management,married,tertiary,no,yes,no
Oldham,43,blue-collar,married,primary,no,no,no
Gillingham,31,management,married,tertiary,no,no,yes
Blackpool,49,admin.,married,primary,no,yes,no
Worthing,36,self-employed,single,tertiary,no,no,no
St Albans,42,management,married,secondary,yes,no,no
Reading,53,management,married,tertiary,no,no,no
Woking,37,management,married,tertiary,no,yes,no
Ipswich,41,services,married,secondary,no,yes,no
Bradford,34,services,single,secondary,no,no,no
Exeter,38,services,married,secondary,no,no,no
Grimsby,31,blue-collar,married,primary,no,yes,no
Sheffield,57,services,married,primary,no,no,no
Bolton,46,blue-collar,married,secondary,no,no,no
Belfast,40,management,married,tertiary,no,no,no
Darlington,47,technician,divorced,secondary,no,no,no
Poole,55,retired,married,primary,no,no,no
Liverpool,43,management,married,tertiary,no,no,yes
Oxford,28,blue-collar,single,primary,no,yes,no
Barnsley,47,management,divorced,tertiary,no,no,no
Newcastle upon Tyne,40,technician,single,tertiary,no,yes,yes
Watford,49,technician,married,tertiary,no,no,yes
Bath,32,technician,single,tertiary,no,yes,no
High Wycombe,49,services,married,secondary,no,no,no
Basingstoke,27,services,single,secondary,no,no,no
St Albans,47,services,divorced,secondary,no,yes,no
Glasgow,33,services,married,primary,no,yes,no
Watford,32,blue-collar,divorced,secondary,no,yes,no
Northampton,39,blue-collar,married,primary,no,yes,no
Birmingham,39,blue-collar,divorced,secondary,no,no,no
High Wycombe,56,retired,divorced,secondary,no,yes,no
Belfast,54,unemployed,single,tertiary,no,yes,no
Worcester,40,self-employed,married,tertiary,no,yes,no
Birmingham,55,retired,married,primary,no,no,no
Portsmouth,52,management,married,tertiary,no,yes,no
Northampton,34,technician,single,secondary,no,yes,no
Preston,26,blue-collar,single,secondary,no,yes,no
Rochdale,35,blue-collar,married,secondary,no,yes,no
Grimsby,46,management,married,secondary,no,no,no
Bristol,56,management,divorced,tertiary,no,yes,no
Southend-on-Sea,29,management,married,tertiary,no,yes,yes
London,36,admin.,married,secondary,no,yes,no
Stevenage,37,management,married,tertiary,no,yes,no
Gloucester,34,blue-collar,married,secondary,no,no,no
Preston,33,technician,single,secondary,no,no,no
Bournemouth,33,management,married,tertiary,no,yes,no
Aberdeen,51,management,married,tertiary,no,yes,no
Halifax,39,services,single,secondary,no,yes,yes
Sheffield,52,blue-collar,married,primary,no,yes,no
Sheffield,50,blue-collar,divorced,primary,no,yes,no
Lincoln,44,technician,single,secondary,no,no,yes
Kingston upon Hull,32,technician,single,tertiary,no,no,no
Darlington,38,technician,divorced,secondary,no,yes,yes
Lincoln,58,technician,divorced,secondary,no,yes,no
County Down,59,management,divorced,tertiary,no,no,no
Aberdeen,41,technician,single,tertiary,no,yes,no
Stevenage,46,blue-collar,married,secondary,no,no,no
Bolton,75,retired,married,primary,no,no,no
Cambridge,27,admin.,single,tertiary,no,yes,no
County Down,37,management,married,secondary,no,no,no
Doncaster,38,management,married,tertiary,no,no,no
Newport,43,blue-collar,married,primary,no,yes,no
Swansea,36,admin.,divorced,secondary,no,yes,no
Stockport,41,blue-collar,married,primary,no,yes,no
Stockport,42,admin.,married,secondary,no,no,no
Stevenage,34,management,married,tertiary,no,yes,no
Derby,42,entrepreneur,single,unknown,no,no,no
Hastings,59,entrepreneur,married,secondary,no,no,yes
Nuneaton,50,retired,single,primary,no,no,no
Chelmsford,37,services,married,secondary,no,yes,no
Newport,35,technician,divorced,secondary,no,no,no
Kingston upon Hull,30,technician,single,secondary,no,yes,no
Watford,49,technician,married,tertiary,no,no,yes
Newcastle upon Tyne,42,management,divorced,tertiary,no,no,no
London,27,blue-collar,married,secondary,no,yes,no
Eastbourne,53,technician,married,secondary,no,yes,no
Portsmouth,30,admin.,married,secondary,no,yes,no
Northampton,55,housemaid,divorced,primary,no,no,no
Maidstone,36,technician,divorced,tertiary,no,yes,no
Gillingham,42,technician,single,secondary,no,no,no
Bath,49,blue-collar,single,primary,no,yes,no
Plymouth,70,retired,divorced,secondary,no,no,no
Warrington,52,management,single,tertiary,no,no,no
Blackburn,28,technician,single,secondary,no,yes,no
Nottingham,29,admin.,single,secondary,no,no,no
Kingston upon Hull,40,services,married,secondary,no,yes,no
Birmingham,52,technician,divorced,tertiary,no,no,no
Cardiff,35,management,single,tertiary,no,yes,no
Middlesbrough,40,blue-collar,married,secondary,no,yes,no
Chesterfield,43,admin.,married,secondary,no,no,no
Birmingham,52,blue-collar,divorced,primary,no,yes,no
Kingston upon Hull,41,technician,married,secondary,no,no,no
Weston-super-Mare,54,management,married,tertiary,no,no,no
Glasgow,47,self-employed,married,primary,no,no,no
